Name,Description,Image URL
Sweet Million,"Sweet Million cherry tomato seeds are easy to grow, and hardy plants adapt well to many climates. This extremely vigorous plant needs support for climbing habit, pruning may be required for containment in smaller areas. Read More",//www.westcoastseeds.com/cdn/shop/products/TM781-12_515x640_crop_center.jpg?v=1610656366
Red Ace,"Hybrid vigour brings better germination, fast spring growth, and excellent disease resistance. The large, deep red, round roots are uniform, sweet and tender. Read More",//www.westcoastseeds.com/cdn/shop/products/BT166-2_515x640_crop_center.jpg?v=1610588716
Jalapeno M,"Jalapeno M Pepper Seeds produce pungent, thick-walled and juicy dark green peppers that are 8cm (3"") long and about 2cm(1"") wide with a blunt end. On the coast, fruits set well on mid-sized plants 60-90cm (24-36"") tall. Read More",//www.westcoastseeds.com/cdn/shop/products/PP647-Jalapeno-M-0X7A3146_515x640_crop_center.jpg?v=1610586352
Black Beauty,"Large bush plants grow semi-upright and open, and are loaded with glossy dark green fruits with firm creamy white flesh and fine flavour. Plants are productive very early, and over a long period. Read More",//www.westcoastseeds.com/cdn/shop/products/SQ710-1_515x640_crop_center.jpg?v=1610654502
Rainbow Blend,"Enjoy the diversity that carrots can bring to the garden. Plant Rainbow Blend carrot seeds to grow purple, white, red, and nice big orange carrots all in the same row. Read More",//www.westcoastseeds.com/cdn/shop/products/CR279_RainbowBlend1_515x640_crop_center.jpg?v=1610579151
Nantes Coreless,"This delicious carrot shrugs aside heavy soil, and forms beautiful 15-20cm (6-8"") long, fine-grained roots that are bright orange throughout and as coreless as the name suggests. Nantes Coreless carrot seeds develop cylindrical and sweet roots, with relatively small tops. Read More",//www.westcoastseeds.com/cdn/shop/products/CR294-1_515x640_crop_center.jpg?v=1610656005
Little Gem,"Little Gem romaine lettuce seeds produce small, personal size, mini romaine heads that will fit in the palm of your hand. This variety was popularized as a gourmet heirloom treat in England. Read More",//www.westcoastseeds.com/cdn/shop/products/LT476-1_515x640_crop_center.jpg?v=1610588082
Patio Snacker,"Patio Snacker cucumber seeds produce compact little plants that grow to only 90-150cm (36-60""), but producing numerous full-sized slicing cucumbers from mid-summer on. Read More",//www.westcoastseeds.com/cdn/shop/products/CU381_Patio-Snacker-Cucumber__1_515x640_crop_center.jpg?v=1610656919
XL Jelly Beans,"Very large, semi-double blooms that feature splashes of bubblegum pink, lemon yellow, and raspberry red. Grows to about 25cm (10"") tall, and is somewhat drought tolerant. Read More",//www.westcoastseeds.com/cdn/shop/products/FL4015-XL-Jelly-Beans-ES-4500-08_515x640_crop_center.jpg?v=1625091420
Bolero,"Bolero carrot seeds are a great variety for home or market. Very sweet and crunchy, it is a good keeper in storage or in the ground. Read More",//www.westcoastseeds.com/cdn/shop/products/CR283-1_515x640_crop_center.jpg?v=1610587056
Perennial Blend,"All perennials in this blend! These species will provide many colours for years of enjoyment. When fall planted, the flowers will blossom the following spring. When spring planted, if the conditions are right, there will be some flowering, but most will not flower until the following spring. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3447-1_515x640_crop_center.jpg?v=1610653771
Seaside,"Seaside spinach seeds produce very uniform, dark green baby leaf spinach for fast harvests and high volume production. The leaves are thick and succulent, with well developed flavour. Read More",//www.westcoastseeds.com/cdn/shop/products/SP715_Seaside_IMG_5100_515x640_crop_center.jpg?v=1610577899
